rebalance_date,next_date,train_cutoff,n_train,long_ret,short_ret,long_only_ret,long_short_ret,long_only_ret_net,long_short_ret_net,turnover,n_long,n_short,long_stocks,short_stocks,benchmark_ret,excess_ret
2024/2/5,2024/3/5,2024/1/8,103758,0.071574863,0.145743364,0.071574863,-0.074168501,0.069974863,-0.075768501,0.4,10,10,"sh.601169,sh.600900,sh.601229,sh.601939,sh.601398,sh.601988,sh.601818,sh.601328,sz.301165,sh.601009","sz.002027,sh.600048,sh.600406,sh.603288,sh.601127,sh.600845,sz.300059,sh.601800,sh.601186,sz.000002",0.165891423,-0.09591656
2024/3/5,2024/4/8,2024/1/29,106413,0.005411907,-0.010187855,0.005411907,0.015599762,0.003011907,0.013199762,0.6,10,10,"sh.600019,sh.601169,sh.601916,sh.600016,sh.601818,sh.601607,sh.601328,sh.601229,sh.600104,sz.000708","sh.601888,sz.300059,sz.002594,sz.301236,sz.000002,sh.601800,sh.600660,sz.300394,sh.601186,sh.601127",0.007397796,-0.004385889
2024/4/8,2024/5/6,2024/3/7,110327,0.024501937,0.032153603,0.024501937,-0.007651667,0.022501937,-0.009651667,0.5,10,10,"sh.601229,sh.600015,sh.600016,sh.601816,sh.600018,sh.601018,sh.601916,sh.600000,sh.601328,sh.600019","sh.603993,sh.601127,sh.600160,sh.688271,sz.300308,sz.000063,sh.600150,sh.601899,sh.600048,sz.000002",0.024056492,-0.001554555
2024/5/6,2024/6/5,2024/4/1,113353,0.022147526,0.085403206,0.022147526,-0.063255679,0.020547526,-0.064855679,0.4,10,10,"sh.601328,sh.600015,sh.601988,sh.601229,sh.600018,sz.301165,sh.601009,sh.600019,sh.601916,sh.601939","sh.601800,sh.688183,sh.603993,sh.600048,sh.600150,sh.600066,sh.600221,sh.601138,sz.300502,sh.601186",-0.002603209,0.023150735
2024/6/5,2024/7/5,2024/5/8,117270,0.052287395,0.007191412,0.052287395,0.045095983,0.050687395,0.043495983,0.4,10,10,"sh.600015,sh.601988,sh.601658,sh.601288,sh.601728,sh.601398,sh.600018,sh.601328,sh.600019,sh.601916","sh.600436,sh.601127,sz.300502,sh.603986,sz.300308,sh.600519,sz.002463,sz.300394,sh.600221,sz.002028",-0.035013475,0.08570087
2024/7/5,2024/8/5,2024/6/6,121008,0.01147503,-0.112686143,0.01147503,0.124161173,0.00907503,0.121761173,0.6,10,10,"sh.601166,sh.600015,sh.601988,sh.601169,sz.002466,sh.601816,sh.601658,sh.601728,sh.688303,sz.000001","sh.603993,sh.603288,sz.000596,sh.600160,sh.600436,sz.300502,sh.601899,sh.600519,sh.600938,sh.601919",0.003211216,0.005863815
2024/8/5,2024/9/5,2024/7/8,124746,-0.059684303,-0.033895979,-0.059684303,-0.025788324,-0.062884303,-0.028988324,0.8,10,10,"sh.601006,sh.601319,sh.601328,sh.601916,sz.000001,sh.601816,sh.601018,sh.601668,sh.601229,sh.601669","sh.601888,sh.600221,sh.601127,sh.688256,sz.300059,sh.603259,sh.605499,sh.600845,sh.600519,sz.000002",-0.029134886,-0.033749417
2024/9/5,2024/10/8,2024/8/8,128840,0.194848205,0.303731559,0.194848205,-0.108883353,0.191648205,-0.112083353,0.8,10,10,"sh.601816,sh.600000,sh.688303,sh.600999,sz.000301,sh.601238,sh.601229,sh.601728,sh.601009,sz.000651","sh.601136,sz.002594,sz.300628,sz.002475,sh.600436,sh.603288,sz.000002,sh.605499,sh.600048,sz.300502",0.247447453,-0.055799248
2024/10/8,2024/11/5,2024/8/30,131690,0.045294779,-0.056448185,0.045294779,0.101742964,0.041694779,0.098142964,0.9,10,10,"sh.688303,sh.601727,sh.688521,sh.600918,sh.600018,sh.600415,sh.600039,sz.300059,sh.600549,sh.600028","sz.002594,sh.688041,sh.601800,sh.688506,sz.002475,sh.600048,sz.300628,sh.600016,sh.600015,sh.605499",-0.057079309,0.098774088
2024/11/5,2024/12/5,2024/10/8,135250,0.012480704,-0.045142671,0.012480704,0.057623375,0.008880704,0.054023375,0.9,10,10,"sz.300122,sz.000301,sz.300896,sz.300450,sh.688303,sz.301236,sz.301308,sh.688111,sh.600346,sz.300124","sz.300033,sh.601012,sh.600438,sh.688041,sh.601800,sz.000157,sz.000100,sz.300408,sh.600048,sz.000002",-0.016211764,0.025092467
2024/12/5,2025/1/6,2024/11/7,139166,-0.02156381,-0.038652325,-0.02156381,0.017088515,-0.02556381,0.013088515,1,10,10,"sh.601628,sz.000617,sh.601077,sz.002142,sh.600028,sh.601009,sz.300433,sh.601229,sh.601939,sh.601018","sz.002241,sz.000625,sh.605499,sh.688041,sh.688256,sz.300014,sz.300803,sz.002625,sh.600104,sz.300033",-0.048522975,0.022959165
2025/1/6,2025/2/5,2024/12/6,142904,0.013994751,-0.001095504,0.013994751,0.015090254,0.011194751,0.012290254,0.7,10,10,"sh.600016,sh.600028,sh.601186,sz.000001,sh.601009,sh.600926,sh.601077,sh.601668,sh.601166,sh.601988","sz.002463,sz.002371,sz.000100,sh.688041,sh.600436,sh.603259,sh.688981,sz.002625,sh.688256,sh.605499",0.028006579,-0.016811829
2025/2/5,2025/3/5,2024/12/30,145751,0.014975213,-0.017346646,0.014975213,0.032321859,0.012575213,0.029921859,0.6,10,10,"sz.000001,sh.601169,sh.600016,sh.688303,sh.601166,sh.600926,sz.300394,sh.600919,sh.601229,sh.600036","sz.002241,sz.002050,sh.603288,sh.600436,sz.300866,sh.601127,sh.601689,sh.603893,sh.688981,sh.600519",0.049708813,-0.0371336
2025/3/5,2025/4/7,2025/2/5,149292,0.029049965,-0.065657062,0.029049965,0.094707027,0.026249965,0.091907027,0.7,10,10,"sh.601916,sh.601658,sh.600015,sh.601988,sh.601018,sh.601825,sh.600000,sh.601169,sz.000001,sh.601166","sz.002625,sz.300033,sh.601727,sz.300803,sh.600519,sz.302132,sz.300866,sh.603019,sh.603501,sh.601127",-0.01631235,0.042562315
2025/4/7,2025/5/6,2025/3/7,153193,0.094056658,0.064414979,0.094056658,0.029641679,0.090056658,0.025641679,1,10,10,"sz.300308,sz.300433,sh.688223,sz.300394,sh.601398,sh.688183,sz.300502,sh.688303,sz.300418,sz.002532","sh.601857,sh.600938,sh.601628,sz.000630,sz.000725,sh.600436,sh.600519,sh.600196,sh.600104,sh.601919",0.05544564,0.034611018
